,country,country_long,name,capacity_mw,latitude,longitude,primary_fuel,estimated_generation_gwh
521,AUT,Austria,KW Silz,500.0,47.2696,10.9678,Hydro,2470.6517785297783
522,AUT,Austria,Kaprun Limberg II,480.0,47.1985,12.7223,Hydro,2371.825707388587
519,AUT,Austria,KW Kaunertal,392.0,47.0678,10.6652,Hydro,1936.9909943673458
542,AUT,Austria,Mayrhofen,355.0,47.1581,11.8501,Hydro,1754.1627627561422
590,AUT,Austria,Wind Park Hollern II,37.0,48.09,16.844,Wind,1617.068181818182
560,AUT,Austria,Rodundwerk II,295.0,47.0847,9.8744,Hydro,1457.684549332569
512,AUT,Austria,Greifenstein,293.0,48.3553,16.2424,Hydro,1447.8019422184498
599,AZE,Azerbaijan,Janub,780.0,39.8943,48.9173,Gas,7574.811715481172
605,AZE,Azerbaijan,Sumqayit,525.0,40.6036,49.6332,Gas,5098.430962343095
604,AZE,Azerbaijan,Shimal,400.0,40.4995,50.2077,Gas,3884.518828451882
602,AZE,Azerbaijan,Sangachal ES,299.0,40.1794,49.47,Gas,2903.677824267782
597,AZE,Azerbaijan,Baku TEC,107.0,40.3734,49.9192,Gas,1039.1087866108787
596,AZE,Azerbaijan,Baku ES,105.0,40.3734,49.9192,Gas,1019.6861924686192
594,AZE,Azerbaijan,Astara ES,87.0,38.456,48.875,Gas,844.8828451882846
600,AZE,Azerbaijan,Khachmaz ES,87.0,41.4635,48.806,Gas,844.8828451882846
603,AZE,Azerbaijan,Shamkir,405.0,40.9487,46.168,Hydro,540.5544147843941
601,AZE,Azerbaijan,Mingechevir,402.0,40.79,47.0287,Hydro,536.5503080082136
610,BHR,Bahrain,Alba Power Station,2204.0,26.0945,50.6008,Gas,7928.463691576445
608,BHR,Bahrain,Al Dur Power and Water,1540.0,25.9714,50.6076,Gas,5539.852125693161
614,BHR,Bahrain,Sitra Power an Water Station,1205.0,26.1833,50.6237,Gas,4334.754423026142
612,BHR,Bahrain,Hidd Power and Water station 1,963.0,26.2223,50.6621,Gas,3464.206231845788
609,BHR,Bahrain,Al Ezzel Power Station,962.0,26.2175,50.6595,Gas,3460.608925270663
613,BHR,Bahrain,Rifa'a Power Station,700.0,26.1199,50.5889,Gas,2518.114602587801
611,BHR,Bahrain,Hawar Power ad Water Station,7.3,26.1981,50.5919,Oil,7.0
616,BGD,Bangladesh,Ashuganj (Aggreko),1649.0,24.0426,91.0158,Gas,8614.412113607848
634,BGD,Bangladesh,Horippur Power CCPP,946.0,23.6839,90.5314,Gas,4941.924717691342
630,BGD,Bangladesh,Ghorasal ST :Unit-3,861.0,23.9797,90.637,Gas,4497.882856165164
645,BGD,Bangladesh,Meghnaghat CCPP,855.0,23.6112,90.6007,Gas,4466.538724763317
626,BGD,Bangladesh,Chittagong Roazan,553.0,22.457,91.9784,Gas,2888.8841108703086
654,BGD,Bangladesh,Shahjibazar 330 MW,536.0,24.2532,91.3751,Gas,2800.075738565073
657,BGD,Bangladesh,Siddhirganj (Dutch Bangla),520.0,24.3884,89.7436,Gas,2716.491388160146
642,BGD,Bangladesh,Khulna (KPCL-2),510.0,22.8646,89.5357,Gas,2664.251169157066
622,BGD,Bangladesh,Bheramara GT (Unit-1 2 3),560.0,24.0487,89.0173,Oil,1795.71875
660,BGD,Bangladesh,Summit Bibiana-2,341.0,24.6358,91.6587,Gas,1781.3914680050186
676,BLR,Belarus,Lukoml Thermal Power Plant Belarus,2460.0,54.6803,29.1341,Gas,10087.12599373645
670,BLR,Belarus,Bereza SDPP Thermal Power Plant Belarus,1130.0,52.4538,25.1926,Gas,4633.517224765117
678,BLR,Belarus,Minsk-4 CHP CCGT Power Plant,1035.0,53.872,27.4022,Gas,4243.973741267165
679,BLR,Belarus,Minsk-5 CHP CCGT Power Plant,780.0,53.612,27.954,Gas,3198.35702240424
673,BLR,Belarus,Gomel-2 CHP Power Plant Belarus,544.0,52.4492,30.8167,Gas,2230.649000240906
677,BLR,Belarus,Minsk-3 CHP CCGT Power Plant,542.0,53.8799,27.6476,Gas,2222.448084798844
682,BLR,Belarus,Novopolotsk Thermal Power Plant Belarus,505.0,55.5265,28.549,Gas,2070.7311491206933
680,BLR,Belarus,Mogilev CHP-2 Thermal Power Plant Ukraine,345.0,53.8128,30.3421,Gas,1414.6579137557214
681,BLR,Belarus,Mozyr Thermal Power Plant Belarus,195.0,51.9049,29.3136,Gas,799.58925560106
671,BLR,Belarus,Bobruisk CHP-2 Power Plant Belarus,180.0,53.1895,29.2055,Gas,738.0823897855938
702,BEL,Belgium,DOEL 4,2910.0,51.3254,4.2597,Nuclear,16550.631138411693
739,BEL,Belgium,TIHANGE 3,2053.8,50.5342,5.2751,Nuclear,11680.991832326436
738,BEL,Belgium,TIHANGE 1N,962.0,50.5342,5.2751,Nuclear,5471.377029261871
724,BEL,Belgium,LANGERLO 1,470.0,50.9405,5.4906,Coal,4402.0
732,BEL,Belgium,RODENHUIZE 4,268.0,51.1341,3.777,Biomass,2648.9917355371904
705,BEL,Belgium,DROGENBOS TGV,465.0,50.8023,4.299,Gas,2326.5677680377607
711,BEL,Belgium,HERDERSBRUG STEG,465.0,51.2629,3.2112,Gas,2326.5677680377607
692,BEL,Belgium,Amercoeur 1 R TGV,451.0,50.4304,4.3955,Gas,2256.52056641942
737,BEL,Belgium,T-power Beringen,422.0,51.0586,5.1056,Gas,2111.4227916385707
727,BEL,Belgium,Marcinelle Energie (Carsid),405.0,50.4138,4.4067,Gas,2026.3654753877274
764,BOL,Bolivia,Guaracachi CCGT Power Plant Bolivia,350.0,-17.7875,-63.1521,Gas,2036.0350097776764
773,BOL,Bolivia,Valle Hermoso Power Plant Bolivia,167.0,-17.4302,-66.1169,Gas,971.4795618082055
757,BOL,Bolivia,Carrasco OCGT Power Plant Bolivia,152.6,-17.2125,-64.5275,Gas,887.7112642630667
763,BOL,Bolivia,Entre Rios Power Plant Bolivia,120.0,-21.52,-64.1714,Gas,698.069146209489
755,BOL,Bolivia,Bulo Bulo OCGT Power Plant Bolivia,90.0,-17.2424,-64.5409,Gas,523.5518596571168
770,BOL,Bolivia,Santa Isabel Hydroelectric Power Plant Bolivia,93.4,-17.1916,-65.8232,Hydro,468.1438432420396
762,BOL,Bolivia,El Alto (El Kenko) Power Plant Bolivia,80.42,-16.5653,-68.1811,Gas,467.8226728180592
760,BOL,Bolivia,Corani Hydroelectric Power Plant Bolivia,54.0,-17.2122,-65.8758,Hydro,270.66132264529057
774,BOL,Bolivia,Yanacachi Norte Hydroelectric Power Plant Bolivia,51.1,-16.3887,-67.7373,Hydro,256.1258071698953
769,BOL,Bolivia,Santa Cruz Power Plant Bolivia,42.3,-17.7549,-63.1398,Gas,246.06937403884487
793,BIH,Bosnia and Herzegovina,Tuzla CHP Power Plant Bosnia and Herzegovina,730.0,44.5215,18.6056,Coal,4163.050561797752
784,BIH,Bosnia and Herzegovina,Kakanj CHP Power Plant Bosnia and Herzegovina,450.0,44.0899,18.1143,Coal,2566.2640449438204
779,BIH,Bosnia and Herzegovina,Gacko Coal CHP Power Plant Bosnia and Herzegovina,300.0,43.1724,18.5128,Coal,1710.8426966292136
794,BIH,Bosnia and Herzegovina,Ugljevik CHP Coal Power Plant Bosnia and Herzegovina,300.0,44.6829,18.9671,Coal,1710.8426966292136
