,country_long,country,latitude,longitude,capacity_mw,estimated_generation_toe,consumption
67,Poland,POL,51.919438,19.145135999999997,37902.0,13.662562,103.84
68,North Korea,PRK,40.339852,127.510093,9208.0,1.489692,15.23
69,Portugal,PRT,39.399871999999995,-8.224454,14413.763999999997,4.423668000000006,22.77
70,Qatar,QAT,25.354826,51.183884,10548.0,3.327512,43.15
71,Romania,ROU,45.943160999999996,24.96676,14175.0,5.423934,33.33
72,Russia,RUS,61.52401,105.31875600000001,227555.55000000008,84.642232,732.16
73,Saudi Arabia,SAU,23.885942,45.079162,84218.54999999999,26.815316,211.32
74,Sudan,SDN,12.862807,30.217636,2798.1099999999997,0.978336,18.74
75,Singapore,SGP,1.352083,103.819836,13660.0,4.183642,36.66
76,Serbia,SRB,44.016521000000004,21.005859,7958.0,2.9053380000000004,15.61
77,Slovakia,SVK,48.669026,19.699023999999998,6206.86,2.1444959999999997,17.4
78,Sweden,SWE,60.128161,18.643501,26418.7,12.965360000000006,49.17
79,Thailand,THA,15.870032,100.992541,39344.09999999999,14.756911999999991,138.15
80,Tunisia,TUN,33.886917,9.537499,5052.2,1.5895380000000003,11.31
81,Turkey,TUR,38.963745,35.243322,50786.1,21.545666,146.8
82,Taiwan,TWN,23.69781,120.96051499999999,37097.56,21.998025999999996,110.09
83,Tanzania,TZA,-6.369028,34.888822,994.5,0.531394,20.43
84,Ukraine,UKR,48.379433,31.16558,47854.0,15.55826,89.46
85,Uruguay,URY,-32.522779,-55.765834999999996,4209.12,1.118946,5.12
86,Uzbekistan,UZB,41.377491,64.585262,12540.0,4.764399999999999,33.83
87,Venezuela,VEN,6.42375,-66.58973,31096.0,9.445121999999998,49.84
88,Vietnam,VNM,14.058323999999999,108.277199,39734.09,12.118518000000005,78.18
89,South Africa,ZAF,-30.559482,22.937506,50172.3,21.705367999999996,132.19
90,Zambia,ZMB,-13.133897,27.849332,2641.837,1.2428719999999998,12.05
