country_long,,estimated_generation_gwh
China,7221,51773.439382053366
China,5039,30141.21843472656
China,4969,28935.569697337494
China,7187,26494.852153609532
China,6334,25886.719691026683
China,6520,24037.66828452477
China,7107,22562.854942566737
China,5309,21787.79503995949
Colombia,7641,9253.420675231551
Colombia,7635,8911.801613385122
Colombia,7634,7426.501344487601
Colombia,7642,6089.731102479833
Colombia,7640,4901.490887361817
Colombia,7633,4158.840752913056
Colombia,7643,3849.2714453584017
Colombia,7639,2940.89453241709
Colombia,7645,2809.381120250685
Colombia,7630,2272.5094114132057
Congo,7658,703.5714285714287
Congo,7654,521.6438356164383
Congo,7656,321.68036529680364
Congo,7652,84.42857142857143
Congo,7653,65.20547945205479
Congo,7659,43.47031963470321
Congo,7655,0.0
Congo,7657,0.0
Costa Rica,7661,1086.7257318952234
Costa Rica,7667,931.4791987673344
Costa Rica,7672,889.0173410404625
Costa Rica,7662,815.0442989214175
Costa Rica,7679,693.4345146379045
Costa Rica,7680,620.9861325115562
Costa Rica,7666,527.8382126348229
Costa Rica,7676,524.2391467467038
Costa Rica,7685,504.0337442218799
Costa Rica,7669,447.2076321149105
Cote DIvoire,7688,2820.745033112583
Cote DIvoire,7693,2014.8178807947022
Cote DIvoire,7690,959.4370860927153
Cote DIvoire,7692,670.6677796327211
Cote DIvoire,7691,555.6961602671118
Cote DIvoire,7689,526.9532554257096
Cote DIvoire,7687,95.8096828046745
Cote DIvoire,7686,63.87312186978297
Croatia,7717,2935.3854686633395
Croatia,7708,2368.0
Croatia,7704,1332.7324828988721
Croatia,7710,1214.6422628951746
Croatia,7716,564.8951529735305
Croatia,7713,528.594318111789
Croatia,7714,506.10094287298944
Croatia,7694,427.37412953719115
Croatia,7696,427.37412953719115
Croatia,7707,337.400628581993
Cuba,7725,2345.6900136636373
Cuba,7726,2345.6900136636373
Cuba,7720,2111.1210122972734
Cuba,7727,2111.1210122972734
Cuba,7722,1792.1071704390185
Cuba,7721,1617.9367396593673
Cuba,7719,1548.1554090180005
Cuba,7728,1407.4140081981823
Cuba,7718,1313.5864076516368
Cuba,7729,1176.0632603406325
Cyprus,7730,3091.9666666666667
Cyprus,7731,941.0333333333333
Cyprus,7732,0.0
Democratic Republic of the Congo,7735,5186.00106002385
Democratic Republic of the Congo,7741,759.6395918908175
Democratic Republic of the Congo,7742,666.1454882734861
Democratic Republic of the Congo,7747,438.25361070624086
Democratic Republic of the Congo,7734,350.60288856499267
Democratic Republic of the Congo,7745,236.6569497813701
Democratic Republic of the Congo,7746,219.12680535312043
Democratic Republic of the Congo,7739,216.2051146150788
Democratic Republic of the Congo,7738,198.6749701868292
Democratic Republic of the Congo,7740,198.6749701868292
Denmark,7750,3711.645763795185
Denmark,7761,3407.0
Denmark,7764,1944.0627086144448
Denmark,7774,1922.6993821461544
Denmark,7752,1771.8923167616429
Denmark,7751,1711.01748870112
Denmark,7781,1587.093731577913
Denmark,7769,1556.656317547652
Denmark,7773,1538.1595057169236
Denmark,7763,1486.1444499680424
Dominican Republic,7795,4924.061757719715
Dominican Republic,7785,3993.0
Dominican Republic,7787,2117.346555819477
Dominican Republic,7788,2110.688524590164
Dominican Republic,7793,1146.2757719714964
Dominican Republic,7796,973.3610451306413
Dominican Republic,7797,669.6199744594653
Dominican Republic,7790,608.0
Dominican Republic,7794,569.1769782905455
Dominican Republic,7791,480.9548693586697
Ecuador,7803,5281.287642272426
Ecuador,7812,3872.944270999777
Ecuador,7802,2590.011969392553
Ecuador,7805,2580.275082289574
Ecuador,7806,1869.4823237720689
Ecuador,7817,1714.6580545244476
Ecuador,7804,1240.1922670610604
Ecuador,7811,1018.478390971658
Ecuador,7807,1000.376082822734
Ecuador,7808,668.3399307485147
Egypt,7818,17335.0
Egypt,7820,14591.114457831323
Egypt,7819,4539.4578313253005
Egypt,7821,4429.213855421685
Egypt,7822,4429.213855421685
El Salvador,7824,1710.0000000000002
El Salvador,7826,832.4607843137254
El Salvador,7830,798.0
El Salvador,7825,725.5392156862746
El Salvador,7823,659.67099936075
El Salvador,7827,622.3311314724058
El Salvador,7828,363.8806733432773
El Salvador,7829,72.11719582356702
Estonia,7832,104.32529686937748
Estonia,7840,97.80496581504137
Estonia,7838,84.9816480748471
Estonia,7842,78.24397265203311
Estonia,7831,52.16264843468874
Estonia,7847,52.16264843468874
Estonia,7836,40.780141843971634
Estonia,7839,39.99136379992803
Estonia,7834,31.975556762629004
Estonia,7835,28.21985815602837
Ethiopia,7856,4509.9538372764
Ethiopia,7851,1109.4004091695956
Ethiopia,7855,1012.9308083722394
Ethiopia,7859,723.522005980171
Ethiopia,7854,443.7601636678383
Ethiopia,7848,392.0
Ethiopia,7858,368.99622304988725
Ethiopia,7852,323.17316267114313
Ethiopia,7853,241.1740019933904
Ethiopia,7860,203.55085768242145
Finland,7968,15080.232558139536
Finland,7947,8499.767441860464
Finland,7956,4982.9626865671635
Finland,8035,2028.462686567164
Finland,7873,1869.7134328358206
Finland,8013,1499.2985074626865
Finland,8001,1437.562686567164
Finland,8044,1391.6558390936027
Finland,7888,1079.7138923402395
Finland,8024,1012.1856139127884
France,8691,37749.85015048313
France,9331,36781.90527482972
France,8329,35952.238238555365
France,8341,25304.844606367813
France,9868,25304.844606367813
France,8168,25166.566766988755
France,8332,25028.288927609694
France,8175,24751.73324885157
France,8549,24613.45540947252
France,8333,20741.675906858865
Gabon,10066,639.0
Gabon,10063,488.07295251204397
Gabon,10065,444.7552447552448
Gabon,10064,432.92704748795586
Gabon,10067,190.13286713286718
Gabon,10062,160.11188811188813
Georgia,10074,4197.528472921671
Georgia,10071,1368.192
Georgia,10084,826.5902223599597
Georgia,10083,710.3509723405904
Georgia,10078,488.64
Georgia,10086,419.75284729216696
Georgia,10077,364.86209033857597
