,country,country_long,name,capacity_mw,latitude,longitude,primary_fuel,estimated_generation_gwh
1517,BRA,Brazil,Caucaia,14.76,-3.7327,-38.6434,Oil,63.13413358748402
1518,BRA,Brazil,Caveiras,3.8289999999999997,-27.8156,-50.4803,Hydro,14.58493387166216
1519,BRA,Brazil,Cavernoso,1.26,-25.4936,-52.2128,Hydro,4.799429793234349
1520,BRA,Brazil,Cavernoso II,19.008,-25.4933,-52.225,Hydro,72.4028265950782
1521,BRA,Brazil,Cazuza Ferreira,9.1,-29.0167,-50.7167,Hydro,34.662548506692524
1522,BRA,Brazil,Caçador,22.5,-28.7055,-51.8506,Hydro,85.7041034506134
1523,BRA,Brazil,Caçu,65.0,-18.5294,-51.15,Hydro,247.58963219066086
1524,BRA,Brazil,Caçú I,130.0,-18.6013,-51.1913,Biomass,465.53303564503364
1525,BRA,Brazil,Ceasa-PE,1.6,-8.0668,-34.9225,Oil,6.8438085189684585
1526,BRA,Brazil,Cebrace Barra Velha,2.7528,-26.6347,-48.7047,Oil,11.774772556885233
1527,BRA,Brazil,Cebrace Caçapava,4.0,-23.1314,-45.7531,Oil,17.109521297421146
1528,BRA,Brazil,Cebrace Jacarei,2.4,-23.2847,-45.9417,Oil,10.265712778452686
1529,BRA,Brazil,Cedasa,3.5669999999999997,-22.453,-47.5205,Oil,15.257415616975308
1530,BRA,Brazil,Celpav II,32.6,-21.5487,-47.7725,Oil,139.44259857398237
1531,BRA,Brazil,Celpav IV,139.424,-23.2949,-45.981,Gas,1001.5768503426584
1532,BRA,Brazil,Celso Furtado (Antiga Termobahia Fase I),185.891,-12.7038,-38.5669,Gas,1335.38072560712
1533,BRA,Brazil,Celso Ramos,5.6000000000000005,-26.7578,-52.2578,Hydro,21.330799081041558
1534,BRA,Brazil,Celulose Irani,4.9,-26.9416,-51.7466,Biomass,17.547014420466652
1535,BRA,Brazil,Cencosud - GBarbosa - 153,1.0,-12.9159,-38.4431,Oil,4.277380324355287
1536,BRA,Brazil,Cencosud - GBarbosa - 31,1.44,-12.9792,-38.4697,Oil,6.159427667071612
1537,BRA,Brazil,Cencosud - GBarbosa - 35,1.08,-12.9914,-38.4486,Oil,4.619570750303709
1538,BRA,Brazil,Cencosud - GBarbosa - 6,1.08,-10.9414,-37.0581,Oil,4.619570750303709
1539,BRA,Brazil,Cencosud - GBarbosa - 81,1.08,-9.6312,-35.6999,Oil,4.619570750303709
1540,BRA,Brazil,Cencosud - GBarbosa - 84,1.08,-9.6489,-35.7058,Oil,4.619570750303709
1541,BRA,Brazil,Cencosud - M. Rodrigues - 10,1.2,-12.9006,-38.3326,Oil,5.132856389226343
1542,BRA,Brazil,Cencosud - M. Rodrigues - 607,1.2,-9.4253,-40.5055,Oil,5.132856389226343
1543,BRA,Brazil,Cencosud - M. Rodrigues - 806,1.2,-10.9386,-37.0828,Oil,5.132856389226343
1544,BRA,Brazil,Cenibra,100.0,-19.216,-42.4745,Biomass,358.10233511156434
1545,BRA,Brazil,Center Shopping Uberlândia,2.1792,-18.91,-48.2594,Oil,9.321267202835037
1546,BRA,Brazil,Central Energética Ribeirão Preto (Antiga Galo Bravo),9.0,-21.1112,-47.8166,Biomass,32.229210160040786
1547,BRA,Brazil,Central GH Engenheiro Bernardo Figueiredo,2.25,-22.7392,-46.9075,Hydro,8.57041034506134
1548,BRA,Brazil,Central I,1.557,-26.9197,-50.4114,Hydro,5.930723958782448
1549,BRA,Brazil,Central Mineirão,1.4184,-19.8656,-43.9711,Solar,0.0
1550,BRA,Brazil,Central Olho D Água,25.0,-7.4176,-35.2441,Biomass,89.52558377789106
1551,BRA,Brazil,Central Termelétrica de Geração (Antiga Forjasul),1.8,-30.54,-52.5125,Biomass,6.445842032008157
1552,BRA,Brazil,Central de Cogeração Shopping Caxias,1.3,-22.7818,-43.3025,Gas,9.338778871969359
1553,BRA,Brazil,Centro Administrativo Farroupilha,1.041,-30.029,-51.2205,Oil,4.452752917653854
1554,BRA,Brazil,Centro Oeste Iguatemi,4.0,-23.1627,-54.3845,Biomass,14.324093404462571
1555,BRA,Brazil,Cepasa,5.0,-8.1096,-35.0039,Biomass,17.90511675557821
1556,BRA,Brazil,Cerradão,54.0,-19.9183,-49.1458,Biomass,193.37526096024476
1557,BRA,Brazil,Cerro Chato I (Antiga Coxilha Negra V),30.0,-30.8407,-55.7251,Wind,35.57470970729932
1558,BRA,Brazil,Cerro Chato II (Antiga Coxilha Negra VI),30.0,-30.8485,-55.6856,Wind,35.57470970729932
1559,BRA,Brazil,Cerro Chato III (Antiga Coxilha Negra VII),30.0,-30.8018,-55.7142,Wind,35.57470970729932
1560,BRA,Brazil,Cerro Chato IV,10.0,-30.8327,-55.7558,Wind,11.858236569099775
1561,BRA,Brazil,Cerro Chato V,12.0,-30.7957,-55.7556,Wind,14.229883882919726
1562,BRA,Brazil,Cerro Chato VI,24.0,-30.783,-55.6906,Wind,28.459767765839448
1563,BRA,Brazil,Cerro dos Trindade,8.0,-30.8512,-55.7527,Wind,9.48658925527982
1564,BRA,Brazil,Cervejaria Petrópolis,4.352,-22.31,-42.8644,Oil,18.615159171594208
1565,BRA,Brazil,Cervejaria Petrópolis - Alagoinhas,3.1056,-12.0843,-38.3436,Oil,13.283832335317776
1566,BRA,Brazil,Cervejatia Petrópolis - Itapissuma,3.1056,-7.7943,-34.9166,Oil,13.283832335317776
1567,BRA,Brazil,Cerâmica Urussanga,2.448,-28.5308,-49.3094,Oil,10.47102703402174
1568,BRA,Brazil,Cerâmicos Fortaleza,1.92,-22.407,-47.5515,Oil,8.212570222762151
1569,BRA,Brazil,Cesar Filho,7.0,-12.2698,-61.1862,Hydro,26.663498851301945
1570,BRA,Brazil,Cesar Park Business Hotel/Globenergy,2.1,-23.459,-46.5235,Gas,15.085719716258195
1571,BRA,Brazil,Cevasa,54.0,-20.7478,-47.4218,Biomass,193.37526096024476
1572,BRA,Brazil,Chaminé,18.0,-25.8153,-49.0606,Hydro,68.56328276049072
1573,BRA,Brazil,Chapadão Agroenergia,92.0,-21.1994,-50.1965,Biomass,329.4541483026391
1574,BRA,Brazil,Chavantes,414.0,-23.1286,-49.7314,Hydro,1576.9555034912867
1575,BRA,Brazil,Chibarro,2.6,-21.8881,-48.1472,Hydro,9.903585287626436
1576,BRA,Brazil,Chris Cintos,4.0,-23.6461,-46.6386,Oil,17.109521297421146
1577,BRA,Brazil,Chupinguaia,5.41,-12.5333,-60.8889,Oil,23.14062755476209
1578,BRA,Brazil,Chupinguaia,1.27,-12.5694,-60.8928,Hydro,4.837520505879066
1579,BRA,Brazil,Chuí 09,17.900000000000006,-33.6875,-53.381,Wind,21.226243458688593
1580,BRA,Brazil,Chuí I,24.0,-33.6565,-53.3936,Wind,28.459767765839448
1581,BRA,Brazil,Chuí II,22.0,-33.6594,-53.4003,Wind,26.0881204520195
1582,BRA,Brazil,Chuí IV,22.0,-33.6647,-53.4164,Wind,26.0881204520195
1583,BRA,Brazil,Chuí V,30.0,-33.6681,-53.4218,Wind,35.57470970729932
1584,BRA,Brazil,Cia Minuano,1.016,-29.3584,-51.9556,Oil,4.345818409544971
1585,BRA,Brazil,Cia de Alimentos Ibituruna,2.0,-18.7794,-41.9541,Oil,8.554760648710571
1586,BRA,Brazil,Cidade Nova,15.6,-3.0241,-59.9592,Oil,66.72713305994246
1587,BRA,Brazil,Cidezal,17.0,-13.37,-59.0126,Hydro,64.75421149601901
1588,BRA,Brazil,Citrosuco,7.0,-21.5947,-48.3636,Biomass,25.0671634578095
1589,BRA,Brazil,Citrosuco,2.3000000000000003,-22.5945,-47.3542,Oil,9.83797474601716
1590,BRA,Brazil,Citrovita Catanduva,19.824,-21.134,-48.9635,Biomass,70.99020691251651
1591,BRA,Brazil,Clealco Clementina,11.2,-21.578,-50.4216,Biomass,40.107461532495215
1592,BRA,Brazil,Clealco Queiroz,45.0,-21.8503,-50.2472,Biomass,161.14605080020394
1593,BRA,Brazil,Coaracy Nunes,76.952,0.9031,-51.2592,Hydro,293.11565194362674
1594,BRA,Brazil,Cocais Grande,10.0,-19.5319,-42.7672,Hydro,38.090712644717065
1595,BRA,Brazil,Cocal,28.2,-22.47,-50.7793,Biomass,100.98485850146112
1596,BRA,Brazil,Cocal II,131.3,-22.5268,-51.494,Biomass,470.188366001484
1597,BRA,Brazil,Cocamar Maringá,13.0,-23.4303,-51.9774,Biomass,46.55330356450335
1598,BRA,Brazil,Codajás,3.656,-3.8366,-62.053,Gas,26.263519658399982
1599,BRA,Brazil,Codora,48.0,-15.2714,-49.158,Biomass,171.88912085355088
1600,BRA,Brazil,Codorna,1.944,-20.1517,-43.8842,Hydro,7.404834538132997
1601,BRA,Brazil,Coelhos I,4.8,-6.5758,-34.9718,Wind,5.691953553167892
1602,BRA,Brazil,Coelhos II,4.8,-6.5701,-34.9674,Wind,5.691953553167892
1603,BRA,Brazil,Coelhos III,4.8,-6.5566,-34.9664,Wind,5.691953553167892
1604,BRA,Brazil,Coelhos IV,4.8,-6.5814,-34.9747,Wind,5.691953553167892
1605,BRA,Brazil,Cofercatu,4.0,-22.8892,-51.3931,Biomass,14.324093404462571
1606,BRA,Brazil,Cogeracao Diesel - Cargilll de Castro Pr,1.80115,-24.7758,-49.8856,Oil,7.704203571212523
1607,BRA,Brazil,Cogeração De Millus Av. Brasil,3.6992599999999998,-22.9192,-43.4408,Gas,26.574285484554895
1608,BRA,Brazil,Cogeração International Paper - Fases I e II,50.5,-22.3563,-46.9605,Oil,216.00770637994202
1609,BRA,Brazil,Coinbra - Frutesp,5.0,-20.9295,-48.5072,Biomass,17.90511675557821
1610,BRA,Brazil,Coinbra - Frutesp,8.0,-21.6335,-48.3421,Biomass,28.648186808925143
1611,BRA,Brazil,Colino 1,11.0,-17.0778,-40.0853,Hydro,41.89978390918877
1612,BRA,Brazil,Colino 2,16.0,-17.0725,-40.1047,Hydro,60.9451402315473
1613,BRA,Brazil,Colombo Ariranha,105.5,-21.2116,-48.8296,Biomass,377.79796354270036
